rideable_type,mean_ride_length,number_of_rides,percent_of_rides
docked_bike,1994.03140516641,2331368,0.5737728036227381
electric_bike,1014.7234807121196,888278,0.21861403195737375
classic_bike,1209.2456580830017,843579,0.20761316441988814
